task,lookback,horizon,MAE,RMSE,sMAPE,BASE_MAE,BASE_RMSE,BASE_sMAPE,Params,Train_Wall_Sec,Train_CPU_Sec,Avg_CPU_Usage_Pct,Peak_RAM_MB,Infer_Wall_Sec,Infer_CPU_Sec,Infer_Avg_CPU_Pct,Latency_ms_per_sample,Size_MB
ENERGY,24,12,648.4538438080741,902.1048243542222,79.96473737180482,529.199573972184,855.5122188501103,71.35719002826714,375844,284.4090967178345,277.07,97.41952813657163,668.80859375,1.1120975017547607,1.1100000000000136,99.81139227887506,0.1274756421085237,1.4279184341430664
ENERGY,24,24,656.9613417918196,965.2653657324609,92.65247005604913,582.3679981634527,910.7851314639735,74.29024233054237,417352,278.4603452682495,276.38,99.25291148143717,674.91015625,1.146655559539795,1.1399999999999864,99.41956767361947,0.13161794760557793,1.5761775970458984
ENERGY,24,72,697.1472637109415,1007.5304450361717,90.45176335643895,685.9860769125543,1039.1300869789088,80.32403324551134,583384,279.9902148246765,277.83,99.22846774269264,729.41015625,1.1511452198028564,1.1400000000000432,99.03181461286682,0.13286533007881537,2.168978691101074
ENERGY,72,12,44368.00274586145,85612.86886544923,179.0248806027588,528.975212591568,855.3350395664244,71.37976784698094,375844,827.4310350418091,819.1999999999999,99.0052300804268,753.921875,3.1005873680114746,3.1000000000000227,99.98105623413448,0.3573752153079155,1.3866004943847656
ENERGY,72,12,28020.957154318305,90536.82645534624,143.25032870493467,528.975212591568,855.3350395664244,71.37976784698094,375844,1601.1422808170319,1590.3700000000001,99.32721276890302,807.984375,3.088381767272949,3.0699999999999363,99.40480909880374,0.35596839180186135,1.4308605194091797
ENERGY,72,24,50361.19228917933,118511.73463748874,179.8924353134038,581.803205473479,910.1647565136567,74.307414780932,417352,1588.812902212143,1577.66,99.29803552094684,769.29296875,3.084841251373291,3.0599999999999454,99.19473161342461,0.35605277601261437,1.5677738189697266
ENERGY,72,72,215771.20039516597,307780.9306198454,196.65710615379615,685.7834412290656,1038.8751584756155,80.37422880397304,583384,1613.6059181690216,1600.95,99.21567477991266,804.75,3.1371822357177734,3.1099999999999,99.13354616737288,0.3641112158446812,2.07096004486084
ENERGY,168,12,73958.81861351554,287492.3574453199,166.3937246611841,528.5902486402487,854.9535815920223,71.46606327352953,375844,3546.752193212509,3522.5399999999995,99.3173418413938,1272.8359375,6.729302883148193,6.710000000000036,99.71315181552467,0.7843010353319573,1.4316911697387695
ENERGY,168,24,1261.9030328825972,2091.3814373658574,106.8873406117939,581.3988516702977,909.73993948578,74.402243893945,417352,3831.008800506592,3812.96,99.52887603640573,1287.6796875,6.696574449539185,6.6599999999998545,99.4538334514918,0.7815796509732942,1.4774589538574219
ENERGY,168,72,1406.6075049701428,2332.3026500320316,114.66381135981474,685.9558446357155,1039.3666590168075,80.47199631882485,583384,3595.22029876709,3578.15,99.5251946376431,1326.83203125,6.616064071655273,6.619999999999891,100.0594904810774,0.7765333417435767,2.187969207763672
