task,lookback,horizon,MAE,RMSE,sMAPE,BASE_MAE,BASE_RMSE,BASE_sMAPE,Params,Train_Wall_Sec,Train_CPU_Sec,Avg_CPU_Usage_Pct,Peak_RAM_MB,Infer_Wall_Sec,Infer_CPU_Sec,Infer_Avg_CPU_Pct,Latency_ms_per_sample,Size_MB
WEATHER,24,12,8.843930189363814,32.65264232466379,39.90663301313943,39.505336793715244,128.05605265187893,56.39579430511263,401224,267.1405894756317,255.58,95.67246987875414,634.2578125,726.3773891925812,22.239999999999956,3.0617693131556942,83.26196574880574,1.5147342681884766
WEATHER,24,12,8.757135845452273,32.60187286035422,38.69306474780316,39.505336793715244,128.05605265187893,56.39579430511263,401224,267.1405894756317,255.58,95.67246987875414,634.2578125,12.010523319244385,2.1799999999999873,18.15074948905005,1.376722067772167,1.5147342681884766
WEATHER,24,24,9.634073483446299,34.58827107623577,42.148578014056945,38.44757050083864,125.17467111274765,58.00116194723755,484240,265.26075315475464,262.99999999999994,99.1477242193323,659.7109375,19.16441035270691,2.1200000000000165,11.062171812140171,2.1997716199158526,1.8112058639526367
WEATHER,24,72,11.074219560832221,37.77108549969415,47.31640522959055,39.78598080325433,126.85589146155344,62.48366789595262,816304,272.3147246837616,268.84,98.7240041140644,744.96875,30.73404550552368,2.580000000000058,8.394599401293808,3.547327505254349,2.997995376586914
WEATHER,72,12,15.813857392118225,180.02242985466182,52.4088673483609,39.632072855009554,128.35081553602237,56.42109658490906,401224,763.6322178840637,758.69,99.35280128727965,750.15234375,13.378813028335571,3.6699999999999355,27.43143201289294,1.5420485279317164,1.495405197143555
WEATHER,72,24,11.142900971122607,40.604093358417614,49.631561866874755,38.56908919882533,125.46555427592766,58.02836849586852,484240,735.0850422382355,729.85,99.28783175586112,780.59375,20.850517749786377,3.889999999999922,18.656611057247137,2.406569454038132,1.806330680847168
WEATHER,72,72,13.113857764562418,50.66947967990453,55.61374722156211,39.91104841772916,127.15914306320045,62.46050476487576,816304,729.5213429927826,724.71,99.34047947479584,863.5703125,32.02681803703308,4.120000000000031,12.864218965605684,3.7171330126547217,3.0247726440429688
WEATHER,168,12,19.169159213641166,62.63265882957247,61.59127001260038,39.92090424394347,128.96929969543163,56.47545387099709,401224,2434.639700651169,2421.6700000000005,99.46728459871498,1010.44140625,17.095977067947388,7.549999999999308,44.162436402389204,1.992538119807388,1.4810562133789062
WEATHER,168,24,20.162224832875328,64.78880763385617,64.27302067983402,38.84029604099448,126.06530647501114,58.03366037188056,484240,2645.206884622574,2632.03,99.50185807018818,1031.6328125,25.616514921188354,7.600000000000052,29.668360522038906,2.989789323201255,1.6471033096313477
WEATHER,168,72,17.13041950075315,55.45655757641869,59.97289865559263,40.172728683571364,127.76201798530057,62.40049992254385,816304,1952.8803977966309,1942.45,99.46589674368184,1114.6875,35.90370178222656,8.039999999999882,22.393234126014075,4.2140495049561695,2.708423614501953
