task,lookback,horizon,horizon_step,model,variant,RMSE,MAE,sMAPE
ENERGY,24,12,1,CNN,baseline,166.26043684646368,105.6859950116009,51.61691055890218
ENERGY,24,12,2,CNN,baseline,217.6094209645092,134.44224665409934,54.07108885650276
ENERGY,24,12,3,CNN,baseline,259.8885814444142,159.13596592464688,56.02377323281647
ENERGY,24,12,4,CNN,baseline,296.1662316760956,181.72428228829065,58.52896794695418
ENERGY,24,12,5,CNN,baseline,330.129878744953,204.01231078369057,60.480443222067095
ENERGY,24,12,6,CNN,baseline,359.8386620192901,222.7996598538496,62.02498883938616
ENERGY,24,12,7,CNN,baseline,387.9255646138429,239.93177535428808,63.15935001067092
ENERGY,24,12,8,CNN,baseline,404.0627419851628,249.023848713959,63.90213282411273
ENERGY,24,12,9,CNN,baseline,417.8580298763408,258.9127761475149,64.23256091442357
ENERGY,24,12,10,CNN,baseline,433.2628296132608,270.3833845432642,65.05968784871608
ENERGY,24,12,11,CNN,baseline,445.1733629621335,278.9269875342466,65.9299809430791
ENERGY,24,12,12,CNN,baseline,460.0513485058726,289.60599151133454,66.32031718848494
ENERGY,24,24,1,CNN,baseline,204.21477119976217,135.91329902307493,53.71217997807823
ENERGY,24,24,2,CNN,baseline,242.5015584639208,159.2794728167959,56.585384597336684
ENERGY,24,24,3,CNN,baseline,279.6581390242808,180.8694132474172,58.88243350382197
ENERGY,24,24,4,CNN,baseline,314.804553788822,203.05104158304053,60.48375130941496
ENERGY,24,24,5,CNN,baseline,349.84373001786304,226.14813723860132,62.03645111704888
ENERGY,24,24,6,CNN,baseline,379.2399290357229,244.1342673956436,63.41453131985389
ENERGY,24,24,7,CNN,baseline,402.8857230268638,258.42054590699166,64.61243147510008
ENERGY,24,24,8,CNN,baseline,420.3875274267332,269.3558019936633,65.21314448205392
ENERGY,24,24,9,CNN,baseline,431.75834028188007,275.3055852936805,65.70339052725245
ENERGY,24,24,10,CNN,baseline,442.5101471934404,281.91282726592163,66.53266794244111
ENERGY,24,24,11,CNN,baseline,455.2404619822204,290.47300443517946,66.64564381687738
ENERGY,24,24,12,CNN,baseline,462.9442915622004,294.8534206642016,66.86237677035048
ENERGY,24,24,13,CNN,baseline,470.50468105007536,298.2651472785527,67.40660437045088
ENERGY,24,24,14,CNN,baseline,476.86955294927503,302.1132599491997,67.64721724005157
ENERGY,24,24,15,CNN,baseline,483.5880550449663,305.99113566217534,67.57731755959405
ENERGY,24,24,16,CNN,baseline,490.7044685941765,311.8930362551366,68.24950355604194
ENERGY,24,24,17,CNN,baseline,497.74279850792,317.42733731101924,68.69370395117633
ENERGY,24,24,18,CNN,baseline,502.22799389580274,320.2354782303588,68.86828487101678
ENERGY,24,24,19,CNN,baseline,508.2467633408596,323.035231894118,68.98832397990428
ENERGY,24,24,20,CNN,baseline,510.7748515031845,325.9413811093243,69.14213069218836
ENERGY,24,24,21,CNN,baseline,514.544696876994,326.5914713965182,69.44123799847519
ENERGY,24,24,22,CNN,baseline,517.1832404864815,329.4593562127288,69.7077119038783
ENERGY,24,24,23,CNN,baseline,520.2141028831812,329.74438896294174,69.16147297637525
ENERGY,24,24,24,CNN,baseline,521.7495037760235,330.4990609302792,69.40063620656521
ENERGY,24,72,1,CNN,baseline,246.7221920687374,160.65396467160497,56.3593113623911
ENERGY,24,72,2,CNN,baseline,273.3985967870454,175.2449223086699,58.16487084230473
ENERGY,24,72,3,CNN,baseline,306.40328986438874,194.79074778340785,59.90620193358296
ENERGY,24,72,4,CNN,baseline,335.0380739175129,211.40279450388945,61.07552212486327
ENERGY,24,72,5,CNN,baseline,367.2484550848263,232.2507390336072,61.85566185831557
ENERGY,24,72,6,CNN,baseline,394.28512893916223,248.56532647233155,63.44451880896634
ENERGY,24,72,7,CNN,baseline,415.50918156002,259.94667425985034,64.5027407822784
ENERGY,24,72,8,CNN,baseline,429.6280601950703,269.1581886949457,64.89615352910945
ENERGY,24,72,9,CNN,baseline,441.8910879553703,278.1549308148463,65.89323330962638
ENERGY,24,72,10,CNN,baseline,455.1903437548439,286.838009534764,66.33227191254977
ENERGY,24,72,11,CNN,baseline,458.735937514667,287.93457730150186,66.6249961233216
ENERGY,24,72,12,CNN,baseline,470.5643291818155,296.0509417176763,67.33661212298077
ENERGY,24,72,13,CNN,baseline,485.8105920883714,305.3923569902176,67.45143990461685
ENERGY,24,72,14,CNN,baseline,491.5758122732351,310.0885829223827,68.01398148918447
ENERGY,24,72,15,CNN,baseline,499.0054285649334,314.8935429158948,68.26634321626469
ENERGY,24,72,16,CNN,baseline,502.6350848820021,317.7715732827488,68.64694737700007
ENERGY,24,72,17,CNN,baseline,510.4195136734844,325.1716404438988,69.05444237082835
ENERGY,24,72,18,LSTM,baseline,515.612254500541,327.4127021188378,68.11212262098702
ENERGY,24,72,19,LSTM,baseline,518.666519218073,329.2534830785069,68.23225267710615
ENERGY,24,72,20,CNN,baseline,520.8434653491034,331.8891765371896,69.25966077698135
ENERGY,24,72,21,CNN,baseline,525.2230904757434,334.875879244622,69.36338843188194
ENERGY,24,72,22,CNN,baseline,525.9456870453582,334.618729851895,69.38445523907507
ENERGY,24,72,23,CNN,baseline,531.9222580293238,340.12686908370847,69.38294331869204
ENERGY,24,72,24,CNN,baseline,534.2139184152769,344.41502816806883,69.51245893794466
ENERGY,24,72,25,CNN,baseline,537.9889153436882,347.1038167081805,69.87685452883852
ENERGY,24,72,26,CNN,baseline,541.501126762838,349.0287952109192,70.13996187358923
ENERGY,24,72,27,CNN,baseline,545.9525282223165,354.0942869080669,70.35907587543356
ENERGY,24,72,28,CNN,baseline,550.0599619627197,354.68054393253624,70.1753302520432
ENERGY,24,72,29,CNN,baseline,556.2071080015052,359.7975193100804,70.11612929830342
ENERGY,24,72,30,CNN,baseline,561.418121627081,365.708946755444,70.58258099089045
