task,lookback,horizon,target,model,variant,RMSE,MAE,sMAPE
ENERGY,24,12,Load,CNN,baseline,363.4623401200516,262.83286648775487,3.7651566616387417
ENERGY,24,12,Solar Mw,CNN,baseline,51.32147940578497,28.557411615874067,113.4189923924716
ENERGY,24,12,Wind Mw,CNN,baseline,503.9020138982295,357.2560279765674,65.65340154241868
ENERGY,24,24,Load,LSTM,baseline,440.7156327794736,314.3381302015524,4.480049699782125
ENERGY,24,24,Solar Mw,LSTM,baseline,57.39787388247904,31.08824833131365,113.8668394955602
ENERGY,24,24,Wind Mw,CNN,baseline,619.309727463367,464.6516479261364,75.86951788887629
ENERGY,24,72,Load,CNN,baseline,611.373749508252,462.6248259876386,6.617697408118173
ENERGY,24,72,Solar Mw,CNN,baseline,64.01973796215793,37.39561247536902,117.11048623159212
ENERGY,24,72,Wind Mw,CNN,baseline,721.9634969927107,561.118049727241,84.46457371393709
ENERGY,72,12,Load,CNN,baseline,355.526767777418,257.68380774860134,3.6950691123085626
ENERGY,72,12,Solar Mw,CNN,baseline,50.06249614870173,28.96149397028984,113.59459606277728
ENERGY,72,12,Wind Mw,CNN,baseline,505.0699390000896,357.2468921345847,65.55838047891419
ENERGY,72,24,Load,CNN,baseline,433.1824711632129,315.202526108684,4.509709273899897
ENERGY,72,24,Solar Mw,CNN,baseline,56.35398357971744,34.28710599376956,115.9806873496518
ENERGY,72,24,Wind Mw,CNN,baseline,620.479582126352,459.10529927766055,75.7553028768857
ENERGY,72,72,Load,CNN,baseline,557.1274418169254,417.4337719809138,5.951565878421157
ENERGY,72,72,Solar Mw,CNN,baseline,62.90310131241941,38.38211410941755,117.17009055702914
ENERGY,72,72,Wind Mw,CNN,baseline,718.6365894580364,556.0982372431107,84.09970421443865
ENERGY,168,12,Load,CNN,baseline,334.7349840914665,244.3956081308846,3.523537704286011
ENERGY,168,12,Solar Mw,CNN,baseline,50.36113524452456,29.416717444382908,114.0786248338436
ENERGY,168,12,Wind Mw,CNN,baseline,505.17350297877726,359.48840111901694,66.85305839183448
ENERGY,168,24,Load,CNN,baseline,406.8205318071192,287.7036936648139,4.1116315955936535
ENERGY,168,24,Solar Mw,CNN,baseline,55.88694052949652,34.48625592009114,116.13169218773638
ENERGY,168,24,Wind Mw,CNN,baseline,628.0372770267419,463.61015693827846,76.63939230983415
ENERGY,168,72,Load,CNN,baseline,497.6293623224533,363.9344343545256,5.196046845151902
ENERGY,168,72,Solar Mw,CNN,baseline,61.8047291462206,38.21992195114297,117.17375831828338
ENERGY,168,72,Wind Mw,CNN,baseline,719.7111550892679,557.8226965509125,84.36131411865917
WEATHER,24,12,Precipitation,CNN,baseline,0.4623135529689269,0.1689294095201476,173.73502652682862
WEATHER,24,12,Relative Humidity 2M Pct,CNN,baseline,9.945036653084946,7.334375859524094,11.119004953420736
WEATHER,24,12,Shortwave Radiation Wm2,CNN,baseline,81.71389430365903,48.68737994836536,118.05027532793638
WEATHER,24,12,Surface Pressure Hpa,CNN,baseline,1.835823884495709,1.344134877040263,0.1555337394818616
WEATHER,24,12,Temperature,CNN,baseline,2.1359005643606825,1.6036312511209152,41.735392657938114
WEATHER,24,12,Wind Speed 100M (M S),LSTM,baseline,1.092956100956434,0.8117710085316113,41.585678300832726
WEATHER,24,24,Precipitation,CNN,baseline,0.4778257579126632,0.1834080867481533,174.73731828023088
WEATHER,24,24,Relative Humidity 2M Pct,CNN,baseline,11.37321475793946,8.47212719530712,12.792902840843215
WEATHER,24,24,Shortwave Radiation Wm2,dCeNN+ELM+ASP,asp,88.2566909294004,47.37074016475113,39.9229323465187
WEATHER,24,24,Surface Pressure Hpa,CNN,baseline,2.7327078052751665,1.9488478233393,0.2255616717896814
WEATHER,24,24,Temperature,CNN,baseline,2.5551315870350764,1.9367748923432864,47.71156393170265
WEATHER,24,24,Wind Speed 100M (M S),CNN,baseline,1.1894014023088508,0.8958439600016969,45.24342433877764
WEATHER,24,72,Precipitation,CNN,baseline,0.489778359338507,0.1888753696078869,175.13133350286256
WEATHER,24,72,Relative Humidity 2M Pct,CNN,baseline,12.91092443254653,9.84827277212228,14.919444404844882
WEATHER,24,72,Shortwave Radiation Wm2,CNN,baseline,94.48654099482091,59.548939748639086,120.61600543849632
WEATHER,24,72,Surface Pressure Hpa,CNN,baseline,4.838569021847112,3.551172286201546,0.4110092197942361
WEATHER,24,72,Temperature,LSTM,baseline,3.2844381487278453,2.532886151805122,57.1264560869087
WEATHER,24,72,Wind Speed 100M (M S),CNN,baseline,1.2450459069868605,0.9500492201539888,47.42051383688642
WEATHER,72,12,Precipitation,CNN,baseline,0.4650621287570179,0.1677801374165196,174.72108305963712
WEATHER,72,12,Relative Humidity 2M Pct,CNN,baseline,9.845555469395306,7.252745512885566,10.95312407036234
WEATHER,72,12,Shortwave Radiation Wm2,CNN,baseline,81.53144005021112,49.45194978721619,118.0208217163963
WEATHER,72,12,Surface Pressure Hpa,CNN,baseline,1.8384962125300637,1.3415378476522688,0.1552168726783341
WEATHER,72,12,Temperature,CNN,baseline,2.1615283668088967,1.626579216658676,41.87343908991056
WEATHER,72,12,Wind Speed 100M (M S),CNN,baseline,1.096741107410702,0.8242853279226771,42.476807506769084
WEATHER,72,24,Precipitation,LSTM,baseline,0.4817863427685692,0.1777994640326517,175.26676504756043
WEATHER,72,24,Relative Humidity 2M Pct,CNN,baseline,11.314744661906529,8.455110290796299,12.742099674008807
WEATHER,72,24,Shortwave Radiation Wm2,dCeNN+ELM+ASP,asp,86.25795574264326,46.3630347923793,38.48136702208092
WEATHER,72,24,Surface Pressure Hpa,CNN,baseline,2.8098777682787386,2.014409702739532,0.2331462459483307
WEATHER,72,24,Temperature,CNN,baseline,2.607196853688193,2.0104926169830497,48.79842630842905
WEATHER,72,24,Wind Speed 100M (M S),CNN,baseline,1.1888203919284586,0.8962909494427231,45.34189491236609
WEATHER,72,72,Precipitation,CNN,baseline,0.491658505686592,0.1853433633540202,176.19754828074224
WEATHER,72,72,Relative Humidity 2M Pct,CNN,baseline,13.0538543435786,9.954756612901248,15.07773930686889
WEATHER,72,72,Shortwave Radiation Wm2,dCeNN+ELM+ASP,asp,93.3969453242409,50.81523996896771,39.10338379707443
WEATHER,72,72,Surface Pressure Hpa,CNN,baseline,4.845712249845863,3.561613712571036,0.4121996379244532
WEATHER,72,72,Temperature,CNN,baseline,3.2970327436877045,2.5467091757410243,57.4125007376921
WEATHER,72,72,Wind Speed 100M (M S),CNN,baseline,1.2616546460694122,0.9643419417227824,48.00948716358856
WEATHER,168,12,Precipitation,CNN,baseline,0.4625838297656138,0.1716411182030325,174.0587758696206
WEATHER,168,12,Relative Humidity 2M Pct,CNN,baseline,9.993425022528678,7.364037469186687,11.115878533737815
WEATHER,168,12,Shortwave Radiation Wm2,CNN,baseline,82.12902757693033,49.75597898277114,118.27412533891524
WEATHER,168,12,Surface Pressure Hpa,CNN,baseline,1.8384268145386544,1.350456921174176,0.1562454755906401
WEATHER,168,12,Temperature,CNN,baseline,2.18730083214622,1.630053738460053,42.55543456548464
WEATHER,168,12,Wind Speed 100M (M S),CNN,baseline,1.0936904131962124,0.8176644784602937,42.11894027292751
WEATHER,168,24,Precipitation,CNN,baseline,0.4793406381113009,0.1841624007986658,175.01394017583178
WEATHER,168,24,Relative Humidity 2M Pct,CNN,baseline,11.401426423343908,8.54329971120857,12.853396431706848
WEATHER,168,24,Shortwave Radiation Wm2,CNN,baseline,88.5479378032008,55.53462236670099,119.55577069397044
WEATHER,168,24,Surface Pressure Hpa,CNN,baseline,2.760572549130959,1.965699773829712,0.2275211296621737
WEATHER,168,24,Temperature,CNN,baseline,2.59242607534801,1.9596403877897777,48.377863882032514
