task,lookback,horizon,model,variant,RMSE,MAE,sMAPE
ENERGY,24,12,CNN,baseline,359.9333301898348,216.21543536006544,60.94585019884301
ENERGY,24,24,CNN,baseline,442.7453781153701,276.7047125856902,65.62368883938952
ENERGY,24,72,CNN,baseline,547.4509656661699,353.7128293967496,69.39758578454914
ENERGY,72,12,CNN,baseline,357.7714258240174,214.630731284492,60.94934855133335
ENERGY,72,24,CNN,baseline,438.1087142951558,269.53164379337136,65.41523316681246
ENERGY,72,72,CNN,baseline,526.2402285040773,337.30470777781403,69.07378688329632
ENERGY,168,12,CNN,baseline,351.085944667722,211.10024223142813,61.48507364332138
ENERGY,168,24,CNN,baseline,433.2270830856644,261.9333688410612,65.62757203105473
ENERGY,168,72,CNN,baseline,506.4382007544512,319.99235095219365,68.91037309403148
WEATHER,24,12,CNN,baseline,33.62889448808414,9.993629364264196,64.49517351259104
WEATHER,24,24,dCeNN+ELM+ASP,asp,36.39303015661002,10.28676049125994,43.29924000536373
WEATHER,24,72,CNN,baseline,39.00939697187293,12.771481023952,69.26109624801991
WEATHER,72,12,CNN,baseline,33.55041499049454,10.110812971625316,64.70008205262562
WEATHER,72,24,dCeNN+ELM+ASP,asp,35.589292552601286,10.138128978011355,43.29225430487353
WEATHER,72,72,dCeNN+ELM+ASP,asp,38.60445670991936,11.436178194554044,48.061049813126125
WEATHER,168,12,CNN,baseline,33.799950579390114,10.18163878470923,64.71323334271274
WEATHER,168,24,CNN,baseline,36.48455286604263,11.51490178942299,66.93452332630342
WEATHER,168,72,CNN,baseline,39.756288516097,13.101601223184028,69.66119886497562
