task,lookback,horizon,model,variant,RMSE_ratio,RMSE_gain
ENERGY,24,12,CNN,baseline,0.4209474771764655,0.5790525228235345
ENERGY,24,24,CNN,baseline,0.4861605952949262,0.5138394047050738
ENERGY,24,72,CNN,baseline,0.5267854007032934,0.4732145992967066
ENERGY,72,12,CNN,baseline,0.4184191072967347,0.5815808927032653
ENERGY,72,24,CNN,baseline,0.4810692712148942,0.5189307287851058
ENERGY,72,72,CNN,baseline,0.5063753256789405,0.4936246743210595
ENERGY,168,12,CNN,baseline,0.410600365873227,0.589399634126773
ENERGY,168,24,CNN,baseline,0.4757089280231788,0.5242910719768212
ENERGY,168,72,CNN,baseline,0.4873207657274102,0.5126792342725898
WEATHER,24,12,CNN,baseline,0.262874999478161,0.737125000521839
WEATHER,24,24,dCeNN+ELM+ASP,asp,0.2907379730507117,0.7092620269492883
WEATHER,24,72,CNN,baseline,0.3078515260358591,0.6921484739641409
WEATHER,72,12,CNN,baseline,0.2622615279743343,0.7377384720256657
WEATHER,72,24,dCeNN+ELM+ASP,asp,0.2836578753267366,0.7163421246732633
WEATHER,72,72,dCeNN+ELM+ASP,asp,0.3035916708775862,0.6964083291224137
WEATHER,168,12,CNN,baseline,0.2642121246277791,0.7357878753722209
WEATHER,168,24,CNN,baseline,0.2917771205171557,0.7082228794828442
WEATHER,168,72,CNN,baseline,0.3137458166714649,0.6862541833285352
