task,lookback,horizon,model,variant,RMSE,MAE,sMAPE
ENERGY,24,12,dCeNN+ELM,raw,501.049253178002,340.2349606668041,73.1017628710132
ENERGY,24,24,dCeNN+ELM,raw,561.0095691616388,383.8054245476001,75.06379260345958
ENERGY,24,72,dCeNN+ELM,raw,625.4957790696755,416.39055900841794,79.920070947428
ENERGY,72,12,dCeNN+ELM,raw,713.9637225966042,506.40212843665057,76.31325003816136
ENERGY,72,24,dCeNN+ELM,raw,658.0005863424757,469.7961684191212,76.72921667853824
ENERGY,72,72,dCeNN+ELM,raw,630.9895069090356,446.8078079825381,75.13671381619524
ENERGY,168,12,dCeNN+ELM,raw,670.0416922723128,453.23263877929617,80.83322543299158
ENERGY,168,24,dCeNN+ELM,raw,672.8722754165672,448.89135490159725,81.66785166299509
ENERGY,168,72,dCeNN+ELM,raw,658.4953048339797,462.2978837221937,78.41527338426677
WEATHER,24,12,dCeNN+ELM,raw,35.51699116879367,11.177294393768191,66.00634375427289
WEATHER,24,24,dCeNN+ELM,raw,37.478088100808165,12.148398127026578,68.1510820031357
WEATHER,24,72,dCeNN+ELM,raw,40.8412785278144,13.89636329271686,71.03086499965045
WEATHER,72,12,dCeNN+ELM,raw,38.05420909357802,12.338807263017754,69.38937751790203
WEATHER,72,24,LSTM,baseline,37.6894357004304,11.087685457148226,67.14088417996635
WEATHER,72,72,LSTM,baseline,42.57635835060173,13.765999271912632,70.24738432092666
WEATHER,168,12,dCeNN+ELM,raw,75.3392189475255,14.550188702967525,72.66661360980791
WEATHER,168,24,dCeNN+ELM,raw,43.53139164219405,14.938592469469045,71.82354603635945
WEATHER,168,72,dCeNN+ELM,raw,62.07235078379482,15.45841903912111,73.938461446383
