horizon_step,CNN,LSTM,dCeNN+ELM,dCeNN+ELM+ASP
1,135.91329902307493,179.94377455511795,273.1598123454532,263.7374193543865
2,159.2794728167959,166.59462361122723,279.0865834557184,269.8319951483542
3,180.8694132474172,184.4779090353045,299.8249174020084,290.32469925814104
4,203.05104158304053,199.49527884750364,326.449180378246,316.3848478855543
5,226.14813723860132,216.6048930108736,356.36675008380445,345.2518222175537
6,244.1342673956436,234.06397466989557,382.6435316455977,370.69779004427977
7,258.42054590699166,248.7719029772992,392.858745924848,380.2477982864992
8,269.3558019936633,259.63372392157044,401.744693927346,389.0985656458968
9,275.3055852936805,267.9353331248984,409.20315712254313,396.7749332823008
10,281.91282726592163,274.7380716228452,407.5262931772865,394.9232077574854
11,290.47300443517946,280.9578673696123,393.9809601801842,381.3836556272812
12,294.8534206642016,286.9407755152545,384.15833087351706,371.8140461810885
13,298.2651472785527,292.27464171861465,386.8483174189123,374.2190341945176
14,302.1132599491997,297.336301386113,393.1703373498275,379.84240157274974
15,305.99113566217534,302.05042221656146,387.11325475494175,372.91505542745057
16,311.8930362551366,306.4452799361572,388.6894231565111,374.29193569849326
17,317.42733731101924,310.51015550391384,394.0508305991007,379.75189532304
18,320.2354782303588,313.88597372569603,404.631562733704,390.22238185001527
19,323.035231894118,316.7964486783638,413.8557232705586,399.3197979637706
20,325.9413811093243,318.9282415907475,422.1896884250858,407.7117190552955
21,326.5914713965182,320.5433870363361,429.3980092177853,414.2358410508399
22,329.4593562127288,322.59457724921504,428.2550298588645,412.1863082329688
23,329.74438896294174,326.3764370766951,427.71353781157615,411.3333027436531
24,330.4990609302792,332.2158368306296,428.4115180289816,412.8157379483097
