horizon_step,CNN,LSTM,dCeNN+ELM,dCeNN+ELM+ASP
1,53.71217997807823,57.240133242578025,65.23626684854183,43.21916327875833
2,56.585384597336684,55.894890005930506,66.99132380982674,44.97550769304896
3,58.88243350382197,57.79312677994636,68.81293714090955,46.77417001126248
4,60.48375130941496,59.26122620796749,70.20146180331955,48.34247811716864
5,62.03645111704888,60.8780304013584,71.21785194811883,49.36918643168644
6,63.41453131985389,62.30248348033639,72.49049967512097,50.62193793243812
7,64.61243147510008,63.39603743535138,73.47469146811952,51.68389472719795
8,65.21314448205392,64.26813091118164,74.0281503750705,52.268025314515086
9,65.70339052725245,64.89233116515514,74.4274108212526,52.68147348406259
10,66.53266794244111,65.4623045416027,75.10265472811385,53.35514093564774
11,66.64564381687738,65.98574824400583,75.80194656882398,54.0513108772884
12,66.86237677035048,66.42832868261249,76.45675965099619,54.69539328667163
13,67.40660437045088,66.78725446723752,77.09745881732353,55.315959936483
14,67.64721724005157,67.13839354088068,77.42825650057716,55.55366699914634
15,67.57731755959405,67.45005546765371,77.04622107486988,55.252228182989214
16,68.24950355604194,67.67772091894969,76.6063201142492,54.84445750202136
17,68.69370395117633,67.88739113213542,76.32936931322692,54.51529628752903
18,68.86828487101678,68.04387617295218,76.97988345706709,55.18555020841276
19,68.98832397990428,68.16777019991375,77.7591497574693,55.99938943859404
20,69.14213069218836,68.23216639441634,78.37431959517099,56.62478132329192
21,69.44123799847519,68.2469185667889,79.32788404843309,57.51655174940508
22,69.7077119038783,68.33373647167348,79.86051244206975,58.09263031801451
23,69.16147297637525,68.54733010403167,80.13872911824582,58.3863027529891
24,69.40063620656521,68.968921339776,80.34096340611289,58.584178790650064
