horizon_step,CNN,LSTM,dCeNN+ELM,dCeNN+ELM+ASP
1,246.7221920687374,502.4202114356084,450.82139101589166,448.9945303188829
2,273.3985967870454,369.8798792794384,453.2434870744376,451.5087941234172
3,306.40328986438874,343.9564788232479,458.5200241028173,456.8819630430309
4,335.0380739175129,360.7962895285104,482.1511624285906,480.66803400961777
5,367.2484550848263,387.27701022917495,496.5718656374199,495.3728908857195
6,394.28512893916223,411.5147481545096,508.14120740534565,507.14223647131786
7,415.50918156002,430.4065543471341,507.4987507062117,506.10808972315175
8,429.6280601950703,443.9923173110719,510.3934970025952,508.502262539024
9,441.8910879553703,454.5526255506681,522.6250760356994,520.816126759752
10,455.1903437548439,464.0031088647567,534.3339824722389,533.0254673789874
11,458.735937514667,473.2995504011152,528.9261877547361,527.83086966994
12,470.5643291818155,482.6037074777497,553.4409311136056,552.3597768181596
13,485.8105920883714,491.0748498623735,588.6975599257647,587.4608427514808
14,491.5758122732351,498.31135714105886,582.2465427610924,580.5869760365018
15,499.0054285649334,503.9644466217805,578.0435549278345,576.4666501685485
16,502.6350848820021,508.4858044281213,583.0865681735651,582.0297952538158
17,510.4195136734844,512.204728988873,582.7157809658746,582.0524854442889
18,515.8932267421543,515.612254500541,577.8362242578052,577.4320787091431
19,520.3840040048817,518.666519218073,576.2464320102357,575.9745229309563
20,520.8434653491034,521.8735428076021,593.4666318108966,593.1081332853586
21,525.2230904757434,525.4608915233524,599.1691891565715,598.315969735065
22,525.9456870453582,529.758639830831,603.0611073805934,600.8524080824276
23,531.9222580293238,535.1334401402562,604.947036691769,601.3605771948453
24,534.2139184152769,541.1957521844199,614.366351636716,610.4574736841425
25,537.9889153436882,547.5210250805588,636.8990597036072,632.9097515480029
26,541.501126762838,552.6605788742901,655.5611497754976,651.2855024649547
27,545.9525282223165,556.9734375092453,651.0604603547997,646.7490871439136
28,550.0599619627197,561.0723967823045,636.7870547600477,632.7474787706526
29,556.2071080015052,565.5847461331181,630.5282070873145,626.6928750605044
30,561.418121627081,570.0455910094092,648.219034806509,643.9942400789841
31,566.6047152037768,573.6259626385527,645.7801638210292,640.3414525839781
32,571.1246354478114,576.2281694420628,628.9134492822049,622.0206596885937
33,572.9950174529519,578.1327370974981,620.0245756198909,613.4446935084325
34,578.0315198573319,579.8198767022242,624.136552832866,617.854493745769
35,575.2588253481666,581.7443452992105,618.7379404012569,612.0496605213126
36,575.2078680686154,584.1180914758339,632.952045535417,626.1305616183193
37,580.716654885328,586.6200910941137,664.5080643217489,656.3998067085219
38,583.8689736393103,588.8441595665953,678.3782460091093,668.1827557930363
39,581.3449504216978,590.4311803175415,679.2726923813032,667.8265120713932
40,582.1828790344172,591.6310383727769,676.1319547472422,663.1902701596456
41,581.0820635716665,592.4763404678101,673.4775997682518,659.6743601753245
42,582.0995853320518,593.0510523074815,664.5786540155291,651.7352673144676
43,583.8000406744942,593.7024469505267,651.8198691689271,639.6551101616394
44,583.0311953938049,594.8396025736348,651.119547340576,638.9696852480166
45,585.2972342307494,596.5520600724466,653.2702741262293,640.5070398019884
46,586.710225197561,598.8197778796482,655.5108632875481,643.1600003280457
47,584.1227811827049,601.9241638227891,648.9019442714143,638.0972750859014
48,585.9053436963839,605.7417571068058,646.6121317337833,637.5160900087993
49,589.7289848031141,609.989562204441,646.7718761600722,638.505112081864
50,595.7307963098135,613.5011033421703,651.7405188535265,643.7124511450103
51,597.1466246811605,616.2580578332396,652.4654485263737,645.338307041679
52,599.6942605050234,618.3474661621585,661.5537633591181,656.356313733633
53,603.817135852477,619.9505810794597,671.6158997934875,667.4339365235395
54,608.8767770036667,620.7029984395508,676.1665625876267,672.1668042881502
55,607.3560216675586,620.6753656537094,665.788206400862,660.2146619988622
56,607.1386279607514,620.300426432793,658.8803189127733,650.740078944255
57,607.0138343307018,620.2316066215357,664.9735557853328,654.5421327010702
58,608.8614565880099,620.5987681306333,666.3692745162799,655.6893721946439
59,606.4722604602013,621.1088295730779,657.7236911864154,647.0900769058967
60,606.8764722784017,621.8738110296481,664.8629351876303,653.2476714193159
61,605.4135309146792,622.4090015897524,690.1175376314591,676.9120927765418
62,608.1560333830001,622.3474197573261,703.6674370296076,686.9026262436112
63,605.4487249513971,621.3631555605872,703.8428487281283,685.6429336438878
64,604.972850516037,619.8947767408956,688.8630881311249,674.0218619436819
65,602.5409177318886,618.3337879551485,672.4334558422735,660.3577963477303
66,601.9589847277233,616.7245848507958,662.6223107447287,652.6199286116033
67,601.9966931128849,615.0833246735217,648.8236361338614,640.6101990720579
68,600.237497995086,613.7515685180164,661.0950805258328,652.4662342303939
69,600.7513922491341,613.1340527187991,676.6922761218776,666.2333958326914
70,600.3825810111957,612.8706574123556,688.3414299664151,678.1236305046265
71,600.2122108631768,613.2900257927375,696.4638196113389,686.3796768019319
72,597.9620141172875,614.6206181280271,703.0287446213738,692.2134981383889
