horizon_step,CNN,LSTM,dCeNN+ELM,dCeNN+ELM+ASP
1,0.9948616730311411,0.9940959050166588,0.9936236812531504,0.9943447108379116
2,0.9930614984119688,0.9927791567289356,0.9915986983796972,0.9922801407609344
3,0.9914789309850354,0.9913469667419196,0.990105846306249,0.9907581114635906
4,0.9899780686622724,0.9901511601530824,0.9889730338225424,0.9896091362529158
5,0.9888671979089372,0.9892989779459272,0.9881566872317388,0.9887990438580804
6,0.9882956548437574,0.988625382831192,0.9874173710821746,0.9880826551669496
7,0.9879669572015034,0.9880780057345294,0.9868930500941124,0.9875745863287532
8,0.9876227735339536,0.9876182932058616,0.9865370460575388,0.9872182073017312
9,0.9874533224390536,0.98713646008201,0.9861583651000152,0.9868415283953782
10,0.9874060265832636,0.986653299458447,0.9858352668761716,0.9865505091940542
11,0.9873331678403996,0.986386019504228,0.9855716155537771,0.9863132743380644
12,0.9865417578408258,0.9861029229288628,0.98510068594163,0.9858960173889766
