horizon_step,CNN,LSTM,dCeNN+ELM,dCeNN+ELM+ASP
1,23.97263081366435,30.40119818416688,26.293915579021142,24.746315992076443
2,28.630995128402617,29.422437547830462,30.069264875261496,28.84947789793055
3,31.83422462306658,31.017663506297374,32.4636948446446,31.44102502079931
4,34.0500782609853,32.249414858017964,34.24627336486377,33.32210749549507
5,35.14493808319596,33.19807091259977,35.70167129618691,34.798907440602314
6,35.933974833449525,34.0245696560544,36.92876315036237,36.019534323231184
7,36.871761234858425,34.69029871093329,37.52320412874249,36.58201820577754
8,37.52475349941078,35.270911529007634,37.86653013229622,36.87816852053045
9,38.119869924222776,35.84808482451513,38.082945132509806,37.078464943741885
10,38.70306020519615,36.43895800389484,38.308540852540645,37.29207722238049
11,38.70732439960666,36.91489696129924,38.553332369457785,37.48841778564825
12,38.91051603196578,37.34977808683303,38.63363992912686,37.52757734756312
13,39.10586059813865,37.71041873401722,38.73408584817652,37.64547881025531
14,39.48557176011462,38.10105851189747,38.88239471615136,37.812322864336
15,39.61260744837919,38.527202099577,38.95278283131379,37.84315927594688
16,39.55162752495213,38.98377276419865,38.91073317267181,37.74672392149638
17,39.48727066389788,39.37062147301009,38.8982626970583,37.71223273069994
18,39.72367476121954,39.6215231324508,38.93710778392544,37.75255200921682
19,39.83460111114852,39.72643343048351,39.10527444331719,37.96557894468312
20,39.059425793653645,39.70205306603675,39.42886531726719,38.314766754881525
21,38.993492939267234,39.58891815896659,39.65802709965255,38.5840385446232
22,39.00826165424205,39.47285035313954,39.78417511562533,38.706694746479535
23,39.14732484045732,39.50699109650526,39.9031791295999,38.75821342343497
24,38.98214762643531,39.86063882288583,40.08729582583761,38.8275732778632
