horizon_step,CNN,LSTM,dCeNN+ELM,dCeNN+ELM+ASP
1,7.301177947801247,8.34550087158056,11.761780385547173,9.939889346104808
2,7.713025223898228,8.177328657730179,11.824932657060742,10.088548804084002
3,8.736341483352236,8.656920804355119,11.92703291904702,10.27521906611847
4,9.568515060181882,9.10141573392172,12.064110003067686,10.44268312491413
5,10.373515575746936,9.437590174629037,12.122398243336608,10.582079176729426
6,10.5693397622435,9.711024842929389,12.232792585451064,10.714431011218426
7,10.705182532718664,9.95851239989548,12.277074057387695,10.782393170646042
8,10.542980861470308,10.177022741817614,12.331701647889552,10.885551938461868
9,10.840276885358728,10.406783105350694,12.57540341115184,11.074181403329662
10,11.332033989159104,10.622654144968587,12.835605180054516,11.272790169503802
11,11.609099281681615,10.839903437857544,12.975698125330734,11.348701315620158
12,12.038267055891351,11.222124023983731,13.137157940888445,11.497959903751548
