task,lookback,horizon,model_label,RMSE,MAE,sMAPE,RMSE_ratio,RMSE_gain
ENERGY,24,12,CNN,359.9333301898348,216.21543536006544,60.94585019884301,0.4209474771764655,0.5790525228235345
ENERGY,24,24,CNN,442.7453781153701,276.7047125856902,65.62368883938952,0.4861605952949262,0.5138394047050738
ENERGY,24,72,CNN,547.4509656661699,353.7128293967496,69.39758578454914,0.5267854007032934,0.4732145992967066
ENERGY,72,12,CNN,357.7714258240174,214.630731284492,60.94934855133335,0.4184191072967347,0.5815808927032653
ENERGY,72,24,CNN,438.1087142951558,269.53164379337136,65.41523316681246,0.4810692712148942,0.5189307287851058
ENERGY,72,72,CNN,526.2402285040773,337.30470777781403,69.07378688329632,0.5063753256789405,0.4936246743210595
ENERGY,168,12,CNN,351.085944667722,211.10024223142813,61.48507364332138,0.410600365873227,0.589399634126773
ENERGY,168,24,CNN,433.2270830856644,261.9333688410612,65.62757203105473,0.4757089280231788,0.5242910719768212
ENERGY,168,72,CNN,506.4382007544512,319.99235095219365,68.91037309403148,0.4873207657274102,0.5126792342725898
WEATHER,24,12,CNN,33.62889448808414,9.993629364264196,64.49517351259104,0.262874999478161,0.737125000521839
WEATHER,24,24,dCeNN+ELM+ASP,36.39303015661002,10.28676049125994,43.29924000536373,0.2907379730507117,0.7092620269492883
WEATHER,24,72,CNN,39.00939697187293,12.771481023952,69.26109624801991,0.3078515260358591,0.6921484739641409
WEATHER,72,12,CNN,33.55041499049454,10.110812971625316,64.70008205262562,0.2622615279743343,0.7377384720256657
WEATHER,72,24,dCeNN+ELM+ASP,35.589292552601286,10.138128978011355,43.29225430487353,0.2836578753267366,0.7163421246732633
WEATHER,72,72,dCeNN+ELM+ASP,38.60445670991936,11.436178194554044,48.061049813126125,0.3035916708775862,0.6964083291224137
WEATHER,168,12,CNN,33.799950579390114,10.18163878470923,64.71323334271274,0.2642121246277791,0.7357878753722209
WEATHER,168,24,CNN,36.48455286604263,11.51490178942299,66.93452332630342,0.2917771205171557,0.7082228794828442
WEATHER,168,72,CNN,39.756288516097,13.101601223184028,69.66119886497562,0.3137458166714649,0.6862541833285352
